N,D2_mean,D2_std,n_valid
5,0.5463341320888038,0.06304573560837848,8
10,0.5250119921521186,0.036581228019280036,8
20,0.5617943284656595,0.07044540433288463,8
50,0.5510711648137128,0.028858493276664676,8
100,0.5564508801716981,0.05982575339058317,8
200,0.5458545223943176,0.0582773965951887,8
