N,Deff_mean,Deff_std,cumvar_at_16,cumvar_at_10,eigvals_normalized
2,3.6,0.66332495807108,0.9999999999999999,0.9999999999999999,"0.4625227456199094,0.3322897300107426,0.12068307079586427,0.08450445357348355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
5,7.35,0.9096702699330127,0.9999999999999997,0.9999999999999997,"0.31417076843175806,0.23888595041808128,0.14461615881518836,0.09942249571769006,0.0667797418200328,0.04914667386795291,0.0343124965044908,0.026100098924531724,0.01588653220404949,0.01067908329622451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
10,10.6,1.2806248474865698,0.9941871624454963,0.945677332969821,"0.25377938973290676,0.22122656656351025,0.12949940900400284,0.10123675759052815,0.06751444554802612,0.05512929196985279,0.04046988088655449,0.03252788509949724,0.024299621421393698,0.019994085153548613,0.014010553087162458,0.011115659648642438,0.008232248673875682,0.006683677766244217,0.004810875528680066,0.0036568147710702706,0.002437340941553463,0.0017718844038171506,0.0009549359847933698,0.0006486762243399338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
20,13.25,1.2599603168354152,0.9755957909748469,0.9062553870213862,"0.22752647639955037,0.19490569916347364,0.11595987782010424,0.09583348272205108,0.07357989059615239,0.06141673236380997,0.04655351894658149,0.03829189983092208,0.028469832349053,0.023717976829688087,0.01804402844244637,0.015935188216084844,0.011677492459339626,0.009843380618393382,0.007455494694382105,0.006384819522814484,0.004996893736138425,0.004069913020559874,0.003123296613240579,0.0026366941039134713,0.0019973219703720286,0.0017184000914991406,0.001350060590641989,0.0011128758009707996,0.0008075766510267622,0.0006603821773114319,0.0004824755469653055,0.0003935866399810371,0.0002952369078451912,0.000246932301079734"
50,14.8,0.6000000000000001,0.9642489326765885,0.8743630412145519,"0.17893102924991988,0.1577633499255297,0.12030260809967688,0.10493214999752809,0.07992582949452856,0.07128583784079565,0.05249675326352029,0.04578725126195693,0.033107801098939016,0.02983043098215673,0.022813353142449762,0.01997958697308305,0.014957885576206678,0.013350555465153907,0.009922623297629413,0.008861887007513775,0.006603447136407823,0.005917724913979447,0.004131705148479833,0.003742499699150017,0.0027912181750977495,0.002483090080921853,0.0018343874723181681,0.0016390870633729998,0.0012062335122184212,0.0010597959688377018,0.0007758778048996667,0.0006891516980916525,0.0005194877028138438,0.0004606925752882458"
100,15.7,0.45825756949558405,0.9589330974156215,0.8598148345721699,"0.162426918580294,0.15090755883601892,0.12049563823960749,0.10702328386409536,0.07816275704847533,0.07126146146706101,0.05270830209831902,0.048258131505005894,0.035901071878186086,0.03266971105510684,0.024787277130538823,0.022472767354186053,0.016417516437291113,0.015039875078631793,0.010565846271337092,0.009834980571466853,0.007109065710798941,0.006517240293440673,0.004737820631197819,0.004383655865752727,0.003099256342056333,0.002879326812016866,0.00212560875977391,0.0019604780841658855,0.001417441755639261,0.0013056761562778162,0.0009569953792147159,0.0008870492814399631,0.0006450681735299146,0.0005859769227433674"
200,15.95,0.21794494717703367,0.9551279278503021,0.8525457422895543,"0.15699184941951494,0.1456097852885879,0.11970233639673791,0.10740963521572913,0.07796629988193501,0.07326069090492576,0.05214810426472995,0.04892909448746404,0.036496692689427186,0.034031253740502296,0.024964849381793747,0.022919018875495724,0.017082155363078638,0.015701942313199577,0.011421232968630249,0.010492986658549839,0.007570033862507322,0.007008935173868925,0.0051214814796578505,0.004757482815696867,0.0034395280071193015,0.0031596007979911695,0.0023498308999153695,0.0021671777774460235,0.0015690965557475654,0.0014391276978728208,0.0010564454002788578,0.0009962917091776043,0.00071126425897847,0.0006754662808345741"
