N,theta_rms_rad,theta_rms_deg,NLI_mean,NLI_std,sin_rel_err_pct,frac_theta_gt_30deg
2,0.20549021176022983,11.773721865110724,0.028655422737467934,0.005340790079782669,0.7075746772681406,0.042333333333333334
5,0.13329880181597684,7.637458758206266,0.013636739618410065,0.001611243787256351,0.2966198280015477,0.008544
10,0.0915930244126115,5.247893731681355,0.006871383151042618,0.0009963012336784865,0.14064444521454125,0.0014226666666666667
20,0.059056061416371465,3.3836630738234676,0.0029707286270383784,0.0005375494398568436,0.05842823330868332,0.0
50,0.03580705681318156,2.051593232180463,0.001075807216116886,7.720928283070017e-05,0.02139385715765992,0.0
100,0.025232937070957244,1.4457407988850475,0.0005365397063456891,3.069097109057256e-05,0.010617680297324713,0.0
200,0.01782889820153386,1.0215206203162739,0.00027084531841708857,1.0028144110126907e-05,0.0052988230531092265,0.0
500,0.011194482607582042,0.6413966072470556,0.00010730383596084007,1.8208959914949666e-06,0.0020887396991624927,0.0
1000,0.007933400727647696,0.45455037888022926,5.392731992369302e-05,5.492551555308414e-07,0.0010489911068857509,0.0
